url,device,lcp_ms,inp_ms,cls,note
https://intobadminton.com/,mobile,,,,
https://intobadminton.com/,desktop,,,,
https://intobadminton.com/quiz/,mobile,,,,
https://intobadminton.com/catalog/,mobile,,,,
https://intobadminton.com/best/beginner-rackets/,mobile,,,,
https://intobadminton.com/best/doubles-rackets/,mobile,,,,
https://intobadminton.com/best/shoes/,mobile,,,,
https://intobadminton.com/best/grips/,mobile,,,,
https://intobadminton.com/best/bags/,mobile,,,,
https://intobadminton.com/best/strings/,mobile,,,,
https://intobadminton.com/best/shuttles/,mobile,,,,
https://intobadminton.com/best/all-round-rackets/,mobile,,,,
https://intobadminton.com/best/intermediate-rackets/,mobile,,,,
https://intobadminton.com/best/smash-heavy-rackets/,mobile,,,,
https://intobadminton.com/best/singles-rackets/,mobile,,,,
https://intobadminton.com/best/control-rackets/,mobile,,,,
https://intobadminton.com/best/defensive-rackets/,mobile,,,,
https://intobadminton.com/best/head-light-rackets/,mobile,,,,
https://intobadminton.com/best/rackets-for-shoulder-comfort/,mobile,,,,
https://intobadminton.com/best/wide-feet-badminton-shoes/,mobile,,,,
https://intobadminton.com/best/budget-badminton-shoes/,mobile,,,,
https://intobadminton.com/best/lightweight-rackets-5u/,mobile,,,,
https://intobadminton.com/best/head-heavy-rackets-under-150/,mobile,,,,
https://intobadminton.com/best/rackets-under-100/,mobile,,,,
https://intobadminton.com/review/yonex-arcsaber-7-pro-review/,mobile,,,,
https://intobadminton.com/compare-guides/yonex-astrox-vs-nanoflare/,mobile,,,,
https://intobadminton.com/compare-guides/yonex-victor-li-ning/,mobile,,,,
https://intobadminton.com/guides/glossary/,mobile,,,,
https://intobadminton.com/guides/equipment-authenticity/,mobile,,,,
https://intobadminton.com/brands/bonny/,mobile,,,,
